@NAME:TRAITS	VERSION:TYPED	FORMAT:TEXT
@SAMPLE_NAME	LONG	LAT
9300	0.163481	0.785398
9301	0.163481	2.35619
9302	0.163481	3.92699
9303	0.163481	5.49779
9304	0.328068	0.392699
9305	0.328068	1.1781
9306	0.328068	1.9635
9307	0.328068	2.74889
9308	0.328068	3.53429
9309	0.328068	4.31969
9310	0.328068	5.10509
9311	0.328068	5.89049
9312	0.494934	0.261799
9313	0.494934	0.785398
9314	0.494934	1.309
9315	0.494934	1.8326
9316	0.494934	2.35619
9317	0.494934	2.87979
9318	0.494934	3.40339
9319	0.494934	3.92699
9320	0.494934	4.45059
9321	0.494934	4.97419
9322	0.494934	5.49779
9323	0.494934	6.02139
9324	0.665405	0.19635
9325	0.665405	0.589049
9326	0.665405	0.981748
9327	0.665405	1.37445
9328	0.665405	1.76715
9329	0.665405	2.15984
9330	0.665405	2.55254
9331	0.665405	2.94524
9332	0.665405	3.33794
9333	0.665405	3.73064
9334	0.665405	4.12334
9335	0.665405	4.51604
9336	0.665405	4.90874
9337	0.665405	5.30144
9338	0.665405	5.69414
9339	0.665405	6.08684
9340	0.841069	0.15708
9341	0.841069	0.471239
9342	0.841069	0.785398
9343	0.841069	1.09956
9344	0.841069	1.41372
9345	0.841069	1.72788
9346	0.841069	2.04204
9347	0.841069	2.35619
9348	0.841069	2.67035
9349	0.841069	2.98451
9350	0.841069	3.29867
9351	0.841069	3.61283
9352	0.841069	3.92699
9353	0.841069	4.24115
9354	0.841069	4.55531
9355	0.841069	4.86947
9356	0.841069	5.18363
9357	0.841069	5.49779
9358	0.841069	5.81195
9359	0.841069	6.12611
9360	1.00826	0
9361	1.00826	0.314159
9362	1.00826	0.628319
9363	1.00826	0.942478
9364	1.00826	1.25664
9365	1.00826	1.5708
9366	1.00826	1.88496
9367	1.00826	2.19911
9368	1.00826	2.51327
9369	1.00826	2.82743
9370	1.00826	3.14159
9371	1.00826	3.45575
9372	1.00826	3.76991
9373	1.00826	4.08407
9374	1.00826	4.39823
9375	1.00826	4.71239
9376	1.00826	5.02655
9377	1.00826	5.34071
9378	1.00826	5.65487
9379	1.00826	5.96903
9380	1.15928	0.15708
9381	1.15928	0.471239
9382	1.15928	0.785398
9383	1.15928	1.09956
9384	1.15928	1.41372
9385	1.15928	1.72788
9386	1.15928	2.04204
9387	1.15928	2.35619
9388	1.15928	2.67035
9389	1.15928	2.98451
9390	1.15928	3.29867
9391	1.15928	3.61283
9392	1.15928	3.92699
9393	1.15928	4.24115
9394	1.15928	4.55531
9395	1.15928	4.86947
9396	1.15928	5.18363
9397	1.15928	5.49779
9398	1.15928	5.81195
9399	1.15928	6.12611
9400	1.30086	0
9401	1.30086	0.314159
9402	1.30086	0.628319
9403	1.30086	0.942478
9404	1.30086	1.25664
9405	1.30086	1.5708
9406	1.30086	1.88496
9407	1.30086	2.19911
9408	1.30086	2.51327
9409	1.30086	2.82743
9410	1.30086	3.14159
9411	1.30086	3.45575
9412	1.30086	3.76991
9413	1.30086	4.08407
9414	1.30086	4.39823
9415	1.30086	4.71239
9416	1.30086	5.02655
9417	1.30086	5.34071
9418	1.30086	5.65487
9419	1.30086	5.96903
9420	1.43706	0.15708
9421	1.43706	0.471239
9422	1.43706	0.785398
9423	1.43706	1.09956
9424	1.43706	1.41372
9425	1.43706	1.72788
9426	1.43706	2.04204
9427	1.43706	2.35619
9428	1.43706	2.67035
9429	1.43706	2.98451
9430	1.43706	3.29867
9431	1.43706	3.61283
9432	1.43706	3.92699
9433	1.43706	4.24115
9434	1.43706	4.55531
9435	1.43706	4.86947
9436	1.43706	5.18363
9437	1.43706	5.49779
9438	1.43706	5.81195
9439	1.43706	6.12611
9440	1.5708	0
9441	1.5708	0.314159
9442	1.5708	0.628319
9443	1.5708	0.942478
9444	1.5708	1.25664
9445	1.5708	1.5708
9446	1.5708	1.88496
9447	1.5708	2.19911
9448	1.5708	2.51327
9449	1.5708	2.82743
9450	1.5708	3.14159
9451	1.5708	3.45575
9452	1.5708	3.76991
9453	1.5708	4.08407
9454	1.5708	4.39823
9455	1.5708	4.71239
9456	1.5708	5.02655
9457	1.5708	5.34071
9458	1.5708	5.65487
9459	1.5708	5.96903
9460	1.70453	0.15708
9461	1.70453	0.471239
9462	1.70453	0.785398
9463	1.70453	1.09956
9464	1.70453	1.41372
9465	1.70453	1.72788
9466	1.70453	2.04204
9467	1.70453	2.35619
9468	1.70453	2.67035
9469	1.70453	2.98451
9470	1.70453	3.29867
9471	1.70453	3.61283
9472	1.70453	3.92699
9473	1.70453	4.24115
9474	1.70453	4.55531
9475	1.70453	4.86947
9476	1.70453	5.18363
9477	1.70453	5.49779
9478	1.70453	5.81195
9479	1.70453	6.12611
9480	1.84073	0
9481	1.84073	0.314159
9482	1.84073	0.628319
9483	1.84073	0.942478
9484	1.84073	1.25664
9485	1.84073	1.5708
9486	1.84073	1.88496
9487	1.84073	2.19911
9488	1.84073	2.51327
9489	1.84073	2.82743
9490	1.84073	3.14159
9491	1.84073	3.45575
9492	1.84073	3.76991
9493	1.84073	4.08407
9494	1.84073	4.39823
9495	1.84073	4.71239
9496	1.84073	5.02655
9497	1.84073	5.34071
9498	1.84073	5.65487
9499	1.84073	5.96903
9500	1.98231	0.15708
9501	1.98231	0.471239
9502	1.98231	0.785398
9503	1.98231	1.09956
9504	1.98231	1.41372
9505	1.98231	1.72788
9506	1.98231	2.04204
9507	1.98231	2.35619
9508	1.98231	2.67035
9509	1.98231	2.98451
9510	1.98231	3.29867
9511	1.98231	3.61283
9512	1.98231	3.92699
9513	1.98231	4.24115
9514	1.98231	4.55531
9515	1.98231	4.86947
9516	1.98231	5.18363
9517	1.98231	5.49779
9518	1.98231	5.81195
9519	1.98231	6.12611
9520	2.13333	0
9521	2.13333	0.314159
9522	2.13333	0.628319
9523	2.13333	0.942478
9524	2.13333	1.25664
9525	2.13333	1.5708
9526	2.13333	1.88496
9527	2.13333	2.19911
9528	2.13333	2.51327
9529	2.13333	2.82743
9530	2.13333	3.14159
9531	2.13333	3.45575
9532	2.13333	3.76991
9533	2.13333	4.08407
9534	2.13333	4.39823
9535	2.13333	4.71239
9536	2.13333	5.02655
9537	2.13333	5.34071
9538	2.13333	5.65487
9539	2.13333	5.96903
9540	2.30052	0.15708
9541	2.30052	0.471239
9542	2.30052	0.785398
9543	2.30052	1.09956
9544	2.30052	1.41372
9545	2.30052	1.72788
9546	2.30052	2.04204
9547	2.30052	2.35619
9548	2.30052	2.67035
9549	2.30052	2.98451
9550	2.30052	3.29867
9551	2.30052	3.61283
9552	2.30052	3.92699
9553	2.30052	4.24115
9554	2.30052	4.55531
9555	2.30052	4.86947
9556	2.30052	5.18363
9557	2.30052	5.49779
9558	2.30052	5.81195
9559	2.30052	6.12611
9560	2.47619	0.19635
9561	2.47619	0.589049
9562	2.47619	0.981748
9563	2.47619	1.37445
9564	2.47619	1.76715
9565	2.47619	2.15984
9566	2.47619	2.55254
9567	2.47619	2.94524
9568	2.47619	3.33794
9569	2.47619	3.73064
9570	2.47619	4.12334
9571	2.47619	4.51604
9572	2.47619	4.90874
9573	2.47619	5.30144
9574	2.47619	5.69414
9575	2.47619	6.08684
9576	2.64666	0.261799
9577	2.64666	0.785398
9578	2.64666	1.309
9579	2.64666	1.8326
9580	2.64666	2.35619
9581	2.64666	2.87979
9582	2.64666	3.40339
9583	2.64666	3.92699
9584	2.64666	4.45059
9585	2.64666	4.97419
9586	2.64666	5.49779
9587	2.64666	6.02139
9588	2.81352	0.392699
9589	2.81352	1.1781
9590	2.81352	1.9635
9591	2.81352	2.74889
9592	2.81352	3.53429
9593	2.81352	4.31969
9594	2.81352	5.10509
9595	2.81352	5.89049
9596	2.97811	0.785398
9597	2.97811	2.35619
9598	2.97811	3.92699
9599	2.97811	5.49779
@END_TABLE
